,Other,Delta
0.025,0.8706094721103108,0.0
0.05,0.8709621722195618,0.0
0.25,0.8730355813489415,0.0
0.5,0.8749548081264935,0.0
0.75,0.8776126883755855,0.0
0.95,0.8812038815644777,0.0
0.975,0.8816369607761155,0.0005376941244479773
