,BA.2* [Omicron (BA.2.X)],Omicron,Lambda
0.025,0.9338527162560106,0.0,0.0
0.05,0.9345605553163617,0.0,0.0
0.25,0.9360774650961423,0.0,0.0
0.5,0.9375563992857137,0.0,0.0
0.75,0.9388580202649881,0.0010668716693468126,0.0
0.95,0.9401846283152798,0.0012128536013239755,0.001043325127862918
0.975,0.9405082744027686,0.0017159395592160705,0.0010673504537734037
