,BA.4.1,BA.4.1.3,BA.4.1.1,BA.4.3,BA.4.1.5,BA.4.1.2,BA.5.2.5,B.1.128,XL,AP.1,BA.2.9.1,XY,BA.2.2.1,BA.2.60
0.025,0.9541643690136767,0.0011558291789026426,0.0015851780086237755,0.0,0.0011775549702996416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.9545035700745966,0.0011778956539795866,0.001623745419315634,0.0,0.0012128397772180216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9553531318099614,0.0013399153937395606,0.0017292557549190913,0.0007542131338118851,0.0013286374372956965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9559270900848729,0.001440998939914822,0.0017841098239088412,0.001148085469209947,0.0014413193430977298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9564135808141065,0.0015505485438465432,0.001855948146501275,0.0012481673648791285,0.0015305475324900158,0.0,0.0,0.0,0.0010318714438194503,0.0,0.0,0.0,0.0,0.0
0.95,0.9568673736237399,0.0017392600562888606,0.0019433663143468387,0.0013985009574146929,0.0016357841930677416,0.0010244095885245134,0.0,0.001017759009396015,0.0011376440248310352,0.0,0.0011971262577512415,0.0,0.0,0.0
0.975,0.9571401340241646,0.0017791699978486647,0.001977533187259143,0.00141066562066419,0.0016575041727877053,0.001044969873869954,0.0,0.001036817970616503,0.0011786055061466867,0.0,0.0012194667691421738,0.0005291148141218366,0.001013266323941184,0.0
