,BA.2* [Omicron (BA.2.X)],Omicron,Lambda,Other
0.025,0.9338672636864249,0.00670894099053013,0.0,0.0
0.05,0.9348301342833047,0.007008174670812455,0.0,0.0
0.25,0.9384062040628977,0.007754660282136295,0.0,0.0
0.5,0.9405169385041088,0.009074698459564427,0.0,0.0010242634748924046
0.75,0.942318296112306,0.009958536137738888,0.0010922363438538628,0.001427447622262919
0.95,0.9448175267212834,0.011405867863696016,0.0015848790956059706,0.002978401466970012
0.975,0.9460877336476867,0.011701058987632,0.0018468717682461784,0.0030489179752599175
