,BA.2.12.1,BA.2.23,BA.2.68,BA.2.57,BA.2.31,XQ,BA.2.66,BA.2.67,BG.3,BA.2.29,BA.2.64,BA.2.9.1,BA.2.28,BA.2.27,BA.2.2.1,BA.2.63,BG.1,BA.2.8,BA.2.3.7,BA.2.5,C.37,BA.2.32,BA.2.21,XN,BA.2.45,BA.2.24,W.2,XAK,BG.4,BA.2.42,BA.2.60,XU,XY,BA.2.41,miscBA1BA2Post17k,BA.2.46,BA.2.10.1,XR,BA.2.65,BA.2.59,BA.2.25.1,BA.2.10.3,B.1.177.25,B.1.1.338,BA.3,BA.2.38.1,BA.2.12.2,BA.2.78,BA.2.10,BA.2.37,XJ,BA.2.73,BA.2.79,BA.2.50,BA.2.33,B.1.128,proposed798,B.1.444,BA.2.19,BA.2.76,B.1.474,B.1.127,B.1.1.529,BA.2.1
0.025,0.7472524086923368,0.11160228010106073,0.013956859603854229,0.001474687279879572,0.0028610809954111387,0.0023749362843102284,0.0016651956356558493,0.0014891361671075037,0.0014599799303614115,0.0014959421005053015,0.0,0.0,0.0,0.0,0.001046453479506569,0.0,0.0013543249664882114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.7501545560315,0.11257721898122543,0.014140164550780451,0.001973560173008053,0.0032268474421525864,0.0024536139429391156,0.001713359346704122,0.0016539010251750991,0.0016876767819750992,0.0016112428766158705,0.0,0.0,0.0,0.0,0.0010970789293267213,0.0,0.0013605239898391644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.7583928817772158,0.11719069227482615,0.015001362008301869,0.006495395502814671,0.00435730535438349,0.0029307325218091438,0.001973284915120126,0.002165514172357938,0.002053569902413712,0.001810894483461006,0.0,0.0013732980076505519,0.0010576153584511616,0.0021475700076474345,0.0012660179402360291,0.0,0.0015072225127879455,0.0,0.0,0.0008493771197343095,0.0,0.0,0.001031042869101554,0.0,0.0,0.0011175450914248032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.7635116478467535,0.11942103579448482,0.015762580521920207,0.013171920832402127,0.005254470592208167,0.0031798638434681007,0.002204292997498445,0.0025245833170106638,0.0023046032862952684,0.0020429385981316226,0.0012095363710579485,0.0016041717159800306,0.001345757136328102,0.0025007934676047,0.0014175351114335735,0.0,0.001652006506611751,0.0,0.0,0.001541130305896288,0.0,0.0010756593171529468,0.0012380664526893677,0.0,0.0,0.0014302078203409455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.769290753635185,0.12173790713580018,0.016286698636844777,0.018373742328719668,0.006438556769483288,0.0034293242263453436,0.002395430453496843,0.002897991971714366,0.0025460526458049647,0.0023220203909627445,0.0015430519175659014,0.0017334356007658747,0.0015509487764727345,0.0031213586969578403,0.0015900468876337294,0.0010959576825082752,0.0017985635206221476,0.0010973156945026097,0.001141931913778011,0.001992031872227072,0.0010922363438538628,0.001159633149292282,0.0014361668281448162,0.001032006682139749,0.0,0.0019613341681562263,0.0,0.0011407465288327961,0.001015138614327816,0.0012142884759774979,0.0011766666719078185,0.0,0.0,0.0,0.00137147214929666,0.0,0.0012004110514998916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.7761517334249429,0.12469797500553606,0.017300850100054697,0.027198017972589295,0.007795094797381363,0.003961605633307459,0.002911324061356878,0.0033002641251393522,0.002866099244333232,0.002735724136010052,0.0020344772627696028,0.0021023454955399613,0.0018441697034084492,0.003981952911537015,0.0018210810181796735,0.0015332893749189802,0.002033513821816727,0.0012613424237980357,0.0013387545682017627,0.0031192740204402645,0.0015848790956059706,0.0012539361642500562,0.0017338573230673865,0.0014126767141030604,0.0,0.002558453800811294,0.0,0.0014353497837265629,0.0012867694607683416,0.001600539116918505,0.0014417112931876363,0.0013190107014983419,0.0011273964573634441,0.0011085690014134761,0.0023895649825826874,0.0013869302691068533,0.0015385365200963057,0.0,0.0011013131683988617,0.0010253695031299812,0.0,0.0,0.0,0.0,0.0012003137759306836,0.0,0.001085921235446188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.7801479909319583,0.12510847329183836,0.017749043143600367,0.029817079668658392,0.008243669855168055,0.004232507073195908,0.003091842287847732,0.0033841625903858526,0.0030358870991733827,0.002808965046657188,0.002239110821728644,0.0021395777221001927,0.0019031375232548668,0.00414292059309673,0.0018828008893944964,0.0015780944695100198,0.0021996161422701325,0.0012998871707377835,0.0015305514672343758,0.0036972702044467754,0.0018468717682461784,0.0012850107281883448,0.001822968581702715,0.0014605372054040478,0.0,0.002925353845246108,0.0010266511211885362,0.0015185257277519199,0.0013017289434440044,0.001653632400130369,0.0015186042695511034,0.0015692962348089663,0.0011552550777637254,0.0011202216741202486,0.0030021362423899357,0.0015030958539317667,0.001640154450951584,0.0,0.0011895076370155562,0.0011242936337123538,0.0,0.0005735725497572243,0.0,0.0005284594728878446,0.0012813036588770492,0.0,0.0011390438291253929,0.001058484567259601,0.0,0.0,0.0,0.0,0.0,0.0005384489890835412,0.000563202162699047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005570120144270038,0.0
