,BA.2.3.9,BA.2.3.15,BA.2.23,XQ,BA.2.3.12,B.1.1.529,BA.2.3.14,BA.2.3.17,BA.2.9.1,BA.2.10.1,BA.2.2.1,BA.2.8,BA.2.3.18,BA.2.3.8,BA.2.50,BA.2.59,BA.2.28,BA.2.55,BA.2.3.16,BA.2.3.13,BA.2.3.4,BA.2.3.7,BA.2.60,BA.2.66,XAA,BA.2.32,BA.2.3.11,BA.2.33,BA.2.72,BA.2.13.1,BA.2.42,BA.2.62
0.025,0.604787103417457,0.26286890487220066,0.05192435185444816,0.0024969356678063736,0.0019243776793316577,0.0,0.0012956686966061229,0.0011165986410708578,0.0013236118211381515,0.0,0.0010837835020559008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.6051071633510048,0.2632052726393798,0.05234036394172831,0.0025726892575062095,0.001946059454808279,0.0,0.0014248577022628794,0.0012712945673531808,0.0013562730295283434,0.0,0.001103348581280236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.6070857956783485,0.2642871515201113,0.05397803277003292,0.0027532974732431335,0.0022451649934747742,0.0011806667686735971,0.001827830106522417,0.0014239638570179784,0.0015508177157184681,0.0,0.0012771803959113332,0.0010554053040061425,0.001038845606541407,0.0010451047657869523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.608193226174557,0.2650258518932873,0.055402870033607714,0.002863521736454211,0.0025157655307110395,0.0017135020190213724,0.002080486261018342,0.0015514473583784077,0.0016563170204036064,0.0010039905370956034,0.00139305355499944,0.0011250815093479915,0.001140955570500003,0.0011043149168233775,0.0,0.0,0.0,0.0,0.0010154599249537024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.6096249196673164,0.2659425293807946,0.05678773812135654,0.00297844018405031,0.002710160471098847,0.0023727951292967986,0.002254633500403763,0.0016821805060783417,0.0018326451652427573,0.0011185124828688865,0.0014732563128883381,0.0011798531559489521,0.0012501998439250993,0.0011909789819930675,0.0,0.0,0.0010368835495001788,0.0,0.0011122549976042824,0.0,0.001080355849029071,0.0010565252782515295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.612397463612992,0.26721513158025895,0.05959688553340526,0.0031281302416352693,0.0030139399471392297,0.0031818828928371493,0.0026765329840794665,0.0019429491918279353,0.001968127664231439,0.0012377446153600423,0.0015858824997717932,0.0012527807185527971,0.0014829391794895018,0.0013247000592582392,0.0011922948076897694,0.0011039371283340638,0.001224484613341402,0.0010167794783546428,0.0012447520686587777,0.0011141027711939584,0.0012061603542110647,0.0013232263640738798,0.001134629254483598,0.001017655697355646,5.1773665589238124e-05,0.0010809362167058616,0.001009467398395078,0.0,0.0,0.0,0.0,0.0
0.975,0.6126686906429009,0.26733951219617663,0.060201035837790864,0.003175417759734383,0.0031132535631655657,0.003331246334637254,0.0028384192129514195,0.0019962931605836624,0.0019898400679721606,0.001297784561190649,0.001602234430886621,0.0012756125246630944,0.0015677203132549056,0.001396801041134453,0.00134738332102768,0.001126591434537416,0.0012861880834352621,0.0010707486840522329,0.0012824597074654006,0.001203944648283497,0.001284315891806701,0.0014945723478739382,0.0012036260999921443,0.0010239845920928092,0.001107845633125492,0.0010985698258445882,0.0010694621802802909,0.0,0.0,0.0,0.0,0.0
