,BA.1.1.16,BA.1.1.15,B.1.1.529,BA.1,C.37,BA.1.20,C.37.1,BA.1.3,BA.1.1.14,BA.1.15.1,BA.1.1.10,BA.1.16.2,BA.1.1.3,BA.1.17.2,BA.1.10,BA.1.5,BA.1.1.11,BA.1.21.1,BA.1.17.1,BA.1.1.18,proposed441,BA.1.8,BA.1.1.6,BA.1.1.4,BC.1,BA.1.1.5,BA.1.7,BA.1.14.2,BA.1.1.17,BA.1.19,BA.1.14.1,BA.1.12,BA.1.4,C.2.1,V.2,BC.2,BA.1.1.7,B.1.1.519
0.025,0.3317350808234011,0.24918370924506258,0.12378857309725971,0.09165790945865299,0.04919367254118155,0.027248975147831464,0.012909918241396375,0.002375322235449005,0.002126775776507049,0.0015025092909990952,0.001557955499752728,0.0015240815844711998,0.0013912652479267397,0.0013118965040418286,0.0012978173613800794,0.001335313432735036,0.0014136356139288972,0.0004896907213914532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.3321550848348935,0.24997269653105478,0.12401911865538069,0.09250736182062672,0.05049825713944376,0.027370379270324475,0.012985051293210188,0.002398870527526461,0.0021797435076009626,0.001526816701869504,0.0015736749634894358,0.0015476808724681189,0.0014433310020378605,0.0013385574235313974,0.0013198709426851406,0.001377191459545152,0.0014369042380625787,0.0010422006274333248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.3351092036559936,0.25366044644148883,0.12530306182290996,0.09474488103042127,0.05388524782012463,0.027749425337343203,0.016924278458325878,0.0025570442185106853,0.0023952767105476216,0.00177313173708202,0.001698182694908326,0.0015969145178662233,0.0015253753619464722,0.0014429240750169136,0.0015125737996493467,0.00147821561646211,0.001569181316142617,0.001120615323235206,0.0010566472111109909,0.0010357906824362772,0.0,0.0,0.0010473102583880454,0.0010332406877449625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.3372050808812789,0.25668198975818834,0.12663473647846513,0.09648605853787928,0.05579857376826053,0.02805849506239534,0.019834084772372397,0.0026349384395464377,0.0025371195777923695,0.0019092680758456494,0.001785245626456676,0.0016404482635089253,0.0016232652174421685,0.001533762995610216,0.0016082369385314794,0.0015474193600918918,0.0016531871203209407,0.0012079914896163076,0.0012005097036693244,0.001092025880804241,0.001075916813828859,0.0005009119134086387,0.0011157729563074916,0.0011134164609625705,0.0010832469914936848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.339953954507478,0.2593395524029905,0.1273806351508329,0.09814915052553604,0.05872735921680472,0.028428339945359996,0.021545952103098107,0.002765965156767974,0.002723709027295529,0.0020926262482968746,0.0018651014672032924,0.0016927584248650795,0.0016925544653967348,0.0016113705644221826,0.0016991086241910807,0.001647928083834122,0.001733815860613912,0.001314511562516366,0.0013146823367863774,0.0011728110928828053,0.001140209767734456,0.0010837795670549967,0.0011887886475974183,0.0012031141111628822,0.0011864196668381311,0.0010284748923996717,0.0,0.0010610217521268618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.3433727684206621,0.2639294774617891,0.12827256988093644,0.10035029176240998,0.06295207352456733,0.028904897658977444,0.02500147573229267,0.0029332293431043755,0.002920347673823381,0.002293440153897879,0.002027572003816671,0.001757140017017814,0.0017705583335172457,0.0016878319120224945,0.001811948400616516,0.0017373974615750493,0.0019094809309474076,0.0014016736085515377,0.0015036215651842908,0.0013134036942613464,0.0012133184045711102,0.001195206890931755,0.0012502716706622482,0.0012876942082950835,0.0013434072320146857,0.0010959736915620297,0.001087312722030534,0.001173754465315252,0.001175719996777902,0.0010162557679513234,0.0010562221009197093,0.0010687133400760671,0.0010220080993819753,0.0,0.0,0.0,0.0,0.0
0.975,0.34438360073095703,0.2642472366074528,0.12853163536237822,0.10144526907637313,0.06329591755908556,0.029046095522383464,0.026051551915934612,0.002964621423909667,0.002968144179165637,0.0023584115577990248,0.0020587337124614432,0.001780293162040054,0.0017906796384024575,0.00172692617884767,0.0018381322658484185,0.0017676679667167673,0.0019142556983660344,0.001430178158019663,0.001524561621413419,0.001339595545459786,0.0012363049259229149,0.0012075783287195294,0.0012997611167838334,0.0013312985382179698,0.0013752446205171033,0.001116123884658944,0.0010947194397127526,0.0012111575882714535,0.0012535235795532542,0.001034148218836854,0.0011063217776177572,0.0011649505315248303,0.0010431388615388553,0.0005301847863442055,0.0,0.0,0.0,0.0
