,C.37,B.1.478,B.1.273,B.1.128,C.37.1
0.025,0.9540549817302149,0.004919660861665331,0.0,0.0,0.0
0.05,0.9545717167086851,0.005597099580312538,0.0,0.0,0.0
0.25,0.955873933826996,0.00717329233743148,0.0,0.0,0.0
0.5,0.9567670849466661,0.008009809342470023,0.0010579876057503095,0.0,0.0
0.75,0.9577608650736302,0.008485785521627431,0.0011572152198446246,0.0,0.0
0.95,0.9595023027591222,0.008994693606781505,0.0012710227598918707,0.0010120398479349674,0.0
0.975,0.9603814764144175,0.009091220219082399,0.0013067362488386558,0.0010288122656874844,0.0
