,Lambda,BA.2* [Omicron (BA.2.X)],Omicron,Other,Gamma,BA.5* [Omicron (BA.5.X)]
0.025,0.939801790220747,0.0013899334313850565,0.0012744242652771001,0.0,0.0,0.0
0.05,0.9399454512919277,0.0018388048500616863,0.0013227882853223123,0.0,0.0,0.0
0.25,0.940633543295714,0.002549702654864934,0.0014521769960652838,0.0,0.0,0.0
0.5,0.941204502207752,0.0033525172769364566,0.0023635728987860573,0.0010077126574115907,0.0,0.0
0.75,0.941844314631212,0.0037082368764717803,0.002578324639987587,0.001077674967761864,0.0,0.0
0.95,0.9425423450104514,0.004546495419531254,0.003363671479080702,0.002092299532320876,0.0,5.000199938221886e-05
0.975,0.9428497278013563,0.004625768170318303,0.003580175086129903,0.0022108541019307854,0.0,0.0010220276904341628
