,BA.2.20,BA.2.23,XQ,BA.2.9.1,BA.2.29,B.1.1.529,BA.2.2.1,BA.2.33,BA.2.32,BA.2.3.7,BA.2.8,BA.2.59,BA.2.10.3,BA.2.13.1,XAA,XY,BA.2.18,BA.2.28,BA.2.66,BA.2.10.1,BA.2.45,XL,BA.2.60
0.025,0.7451325506425155,0.18658971371332708,0.0024165186117325586,0.001465784438413076,0.0014778811511837328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.7458114705767703,0.18714695510290608,0.0024403434983688525,0.0015291749177205698,0.0015039722355610643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.7480888051601999,0.18894198324963524,0.002638818128349119,0.0018010496477169318,0.0016409333020817353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.7490893528817528,0.19044408600916,0.0027778963992749106,0.0019359673055589974,0.0017280257070249915,0.001332903719936973,0.0010702299311347915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.7499217923364316,0.19215996024057172,0.0028788380279485444,0.002044093316754061,0.0018557064100257169,0.0019958507892993862,0.00116672841406747,0.0,0.0,0.0,0.001013440741618348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.7513842815783566,0.19362389396082352,0.0030258222402523966,0.0022973043985028314,0.0020189763585872406,0.0027324499965922754,0.00137754201035909,0.0011576124618534098,5.502547642400117e-05,0.0,0.0011052083866480264,0.0011669418041083404,0.0,0.0010367759334196413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.7522485819600908,0.19395480909693277,0.003115610379322084,0.002351071954808509,0.0020539970198385836,0.0029458350008384616,0.0014055039691365217,0.001175700696225578,0.0012174718170805928,0.0,0.0011269284271291763,0.0012033503553415565,0.0,0.0010453500323691083,0.0005334568602329128,0.0,0.0,0.0005262928454043392,0.0005537810132861237,0.0,0.0,0.0,0.0
