,C.37,C.37.1,A.27
0.025,0.968031954534155,0.0,0.0
0.05,0.9683396656517994,0.0,0.0
0.25,0.9689735436089497,0.0,0.0
0.5,0.9695807919573893,0.0,0.0
0.75,0.9700979786476924,0.0,0.0
0.95,0.9710985255634579,0.001510576791756612,0.0
0.975,0.9712549442566989,0.0015727325496803694,0.0
