,C.37,B.1.97,B.1.603,BA.2.9.1,B.1.444,B.1.177.39,AP.1,BA.2.2.1,B.1.524,B.1.128,B.1.1.338,B.1.1.251,AM.3,A.3,N.10,B.1.243.2,B.1.177.87,B.1.411,B.1.629,XY,V.2,BG.1,AY.3.3,C.37.1,B.58,B.1.1.224,B.1.203,AA.7,B.1.423,B.1.618,A.2.5.3,B.1.1.519,B.1.1.176,A.18
0.025,0.9296181903821206,0.0,0.0,0.0011740703726747747,0.0,0.0010547743628078429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.9298331447480728,0.0,0.0,0.0011894458706212874,0.0,0.0010721109778430327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9308145682999385,0.0,0.001050432909445991,0.0012662066092491342,0.0,0.001171787648990724,0.0,0.0,0.0010436116974309364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9314842393308769,0.0011799628328552237,0.0011089026341702642,0.001333749886486961,0.0010104529532383912,0.0012161103733239584,0.0010082606900960092,0.0,0.0011146483574744934,0.001084127924497791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9320453159218576,0.001463263084290726,0.0011903333525960774,0.001434373495660249,0.001075379828302487,0.0012815726930239576,0.0011045612942548176,0.0,0.0011779531457747335,0.0012686835154742185,0.0002505396473081637,0.0,0.0,0.0,0.0,0.0010393408887377446,0.0,0.0,0.00025015947819778173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.9328654669365711,0.0016655713888907013,0.001317256135802455,0.0015446188967718402,0.001140162706082496,0.0013601962499247386,0.00123696379078642,0.0010084529205545984,0.0012662465895594936,0.0014560004246767662,0.00121275680987827,0.0010192500795412672,0.0010609948746058044,0.0,0.0010255484655385808,0.0011490193449488935,0.001029442042015685,0.0,0.0011406438209414784,0.0010297940023601116,0.0010285866521977602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010012174818345065,0.0,0.0,0.0,0.0,0.0
0.975,0.9331299753915403,0.0017094912314192098,0.0013616170677218879,0.001552142714967346,0.0011740593171619784,0.0013904381930838195,0.001289795887885234,0.0010697030224748535,0.0012784359361626629,0.001536663533375506,0.0012955191378001998,0.0010351041491487023,0.0010863023719129242,0.0010256891099179437,0.001043924689829605,0.0011941357287523803,0.0010356784382784014,0.0,0.0011588797000073507,0.001118379105899537,0.0010603345455701362,0.001008943961026513,0.0010088229187048931,0.0010642949628725416,0.0,0.0005287032012891771,0.0,0.0,0.0010146121168002932,0.0,0.0,0.0,0.0,0.0
