,N.4,B.1.177,B.1.478,B.1.177.72,B.1.187,B.1.177.17,B.1.177.75,B.1.177.43,B.1.177.77,AA.8,N.7,B.1.70,B.1.77,B.1.177.65,D.2,B.1.1.109,B.1.177.32,B.1.177.33,B.1.177.7,B.1.543,B.58
0.025,0.8640488816337675,0.011399721546553752,0.015193810166874556,0.005946189241085773,0.00138364586571601,0.0020833754228460344,0.0011140499261921163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8646503098873227,0.012601294768533907,0.015300884093962352,0.0060945403376937175,0.0015838652147267423,0.00211559364338219,0.001160518231966038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8679194299204089,0.015072653971751601,0.01572304796134292,0.006457908428837752,0.0021105600529954796,0.002284320491173341,0.0013242514544831042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8705084969932713,0.01720675123708804,0.016027923438482635,0.00681707043439603,0.0024374983948209604,0.002466145978967869,0.0014696143926240047,0.0011577363501685664,0.0010403354339953586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.872467935836116,0.019647948662569102,0.016265865399015013,0.007104241273394959,0.002613274204016676,0.002618937126073991,0.0015667854411034984,0.0013365543451830878,0.0011254889237431091,0.0,0.001004048828791063,0.0010627161308331546,0.0,0.0,0.0010644676468886068,0.00025093743418941414,0.0010013241909000118,0.0,0.0,0.0,0.0
0.95,0.874210160057025,0.023230897412685785,0.0165886908672955,0.007612328310385446,0.0030385626932150724,0.0029050384185030664,0.001826740081765459,0.0016676384944920744,0.001212052248514024,0.001079660506363171,0.0011207250674786352,0.0013554059721483877,0.001020623562453514,0.001195026951472716,0.0012520345838661117,0.0011192885755644205,0.0011120011899750358,0.0,0.0,0.0,0.0
0.975,0.8746035397353641,0.024751945519703,0.016747913740490953,0.007796401518016106,0.003151333559155137,0.0029608480634843747,0.0018336006218957093,0.0017354420140030598,0.0012441019793745648,0.0011696029629318,0.0011495860646291605,0.0013649900725693955,0.0010720044203685417,0.0012649768412130054,0.001264865411701134,0.0011447452877718773,0.0011201625593550116,0.0,0.0,0.0,0.0
