,N.6,B.1.177.72,B.1.177.17,B.1.187,B.1.177.75,B.1.70,B.1.478,B.1.177.77,B.1.1.109,W.2,B.1.203,B.1.23,B.1.177.25,B.1.177.33,B.1.524,B.1.531,N.7,B.1.1.437,AA.8,B.1.97,A.3,AP.1,B.58,B.1.421,B.1.444,V.2,B.1.188,B.1.629,B.1.579,B.1.177.43,B.1.564.1,B.1.254,B.1.544,B.1.1.312,B.1.273,B.1.127,B.1.1.396,AM.3,B.1.1.388,B.1.106,B.1.639,B.57
0.025,0.8687540440133926,0.0026976973259119686,0.00266250502379319,0.0020544039142394574,0.00153955062763705,0.001088305595254356,0.0011716401868154776,0.0013168108209024392,0.0012339152879436513,0.0,0.0010093709222963967,0.0,0.0,0.0,0.0010174771989178166,0.0004805688124664168,0.00048034742935239267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8695969388548852,0.002704400140546603,0.0027263739730774557,0.0020784271570889064,0.0015559005005740373,0.0011179130414937352,0.0012059000709989376,0.0013340752172413012,0.0012484465603130458,0.0,0.001023423101249477,0.0,0.0,0.0,0.0010310276453473555,0.0010205396900858092,0.0010135977243555595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8707281434388299,0.0029196320125914155,0.0028758984837323406,0.0021589364922970328,0.0016674523355605713,0.0013014305672332373,0.001265423196508638,0.001427147628057438,0.0013351516635274532,0.0011031348147519098,0.0010977190403633828,0.001102945367868135,0.0,0.0010161933274348083,0.0011108448651734697,0.0010790865157732123,0.001069370992765573,0.0,0.0,0.0010067011699958963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8718944991905297,0.0030408489192020388,0.002963196909783531,0.00222904020027461,0.001725636032740965,0.0014812821772088587,0.001326303069094648,0.0014785182250174442,0.0013992001592686282,0.0011729948776504284,0.0011410705606241154,0.0011572281273026096,0.0,0.0011384252990930955,0.001160367072212478,0.0011212646186226963,0.0011239933041266785,0.0,0.0,0.0010856230380785158,0.001067676281814432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8727767393943975,0.003184742020732624,0.0030648156516483185,0.0022902036147268157,0.001784516899455413,0.0016840956356376142,0.0013688549165228924,0.001538442547723984,0.0014567973930936858,0.0012589976128523429,0.0011961169755504743,0.001247226559343927,0.0002502879657587458,0.001203267509063037,0.001205946132145033,0.00115303059379597,0.0011649349927428377,0.0010199128290859665,0.0010858255130360619,0.0011666910484043225,0.0011055548015534314,0.001026436943926664,0.0011294789168134318,0.0,0.0,0.001023673004870628,0.001023062417479724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.8738882544817315,0.0033763245990040547,0.0031982830843117396,0.002404420581301714,0.001845677256291219,0.0021175752355893263,0.0014199599699028116,0.0015897447455560836,0.0015625922449078722,0.0013335282411735554,0.0012523107060060498,0.0013669927427356469,0.0010783618659777879,0.001266950516465937,0.0012717336245907911,0.001184023094555253,0.0012142632285003635,0.001094848707643656,0.0012443105374200056,0.0012540989984669091,0.0011469846684957251,0.0010946956165227369,0.0012818992077629724,0.001048177474118219,0.001041978732601551,0.0010943814995931366,0.0010875380229488664,0.0010409117616041086,0.0,0.001161473898657898,0.001065724442871854,0.0011341373849691658,0.0010331179127284218,0.0,0.0,0.0,5.0670478963950133e-05,0.0,0.0,0.0,0.0,0.0
0.975,0.8739453058095135,0.003424611827306199,0.0032419370704248763,0.002424148037542154,0.0018501109342995183,0.0022172575178958445,0.001450310886373208,0.00161067777167195,0.0015997327803408087,0.001367331547286937,0.0012726860747191032,0.0014289863167073202,0.001149054067253397,0.0012748321806318895,0.0012808177287284878,0.001210898556171936,0.00122663293154769,0.0011332131083344045,0.00128427174689026,0.0012916743683807751,0.0011811548654321862,0.0011107311826665531,0.0012970160873928206,0.001062329997044982,0.0010487870532801897,0.0011148151926731473,0.0011146826615176689,0.0010575157352970114,0.0,0.0012327340050201734,0.001082261991353631,0.001160542752418683,0.0010464151271343581,0.0,0.0,0.0,0.0010452542927274155,0.0,0.0,0.0,0.0,0.0
