	freyja/V350082740_L14_58-58_variants.tsv
summarized	[('BA.2* [Omicron (BA.2.X)]', 0.7267581128702093), ('Other', 0.21459756098374116), ('Omicron', 0.004903038192292468)]
lineages	BA.2.9 miscBA1BA2Pre4321 XAG BA.2.52 BA.2.9.1 BA.2.9.5 BA.2.9.3 BA.2.2.1 XY BA.2.8 BA.2.10.1 XL
abundances	0.71538176 0.21459756 0.00281410 0.00247565 0.00239512 0.00184134 0.00140459 0.00114813 0.00107741 0.00107495 0.00103657 0.00101153
resid	18.871072671862642
coverage	100.0
