,N.6,B.1.177.72,B.1.177.17,B.1.187,B.1.478,B.1.70,B.1.177.75,W.2,N.7,B.1.531,B.1.564.1,B.1.524,B.1.177.25,B.1.421,B.1.1.420,B.1.1.251,B.1.254,AP.1,B.1.106,B.1.177.33,B.1.639,B.1.1.109,B.1.203,A.3,B.1.579,B.1.411,B.1.1.437,B.1.23,B.1.188,B.1.177.43,B.1.1.388,B.1.629,B.1.1.338,B.1.603,B.1.423,AA.8,B.1.444,N.2,B.1.97,B.1.1.217,B.1.599,N.10,B.1.127,B.58,B.1.400.1,B.1.1.312,B.1.93,B.1.1.320,B.1.273
0.025,0.872699791223104,0.0031789038473278193,0.002600097251652,0.0022851484527038114,0.001858847710183957,0.0,0.0014089092690636143,0.0004917149213431901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.873215714382798,0.0032381109568476157,0.0026637884305069593,0.0023859947058481384,0.0018702517029957689,0.0,0.0014320652438560434,0.0010782297540146573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8746950799746493,0.0035138848357694355,0.0028455849070487633,0.002540504679624367,0.0019770053938916233,0.0011276416191231082,0.0015278189666952792,0.0012112069785682566,0.0,0.0010371558977409839,0.0,0.0,0.0010691087791393251,0.0,0.0,0.0,0.0,0.0,0.0,0.0010777955151510606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8758719133480191,0.0036744651925317276,0.002985334067866472,0.0026330528809716492,0.0020599519668656327,0.0013723905577546504,0.001619755949828138,0.0013638217821335596,0.0010458382320018044,0.0010850907426421222,0.0,0.0010343338608515152,0.0011482203616284168,0.0,0.0,0.0010533221242975236,0.0,0.0,0.0,0.0012389196247671766,0.0,0.0010513582372146213,0.0,0.0,0.0,0.0,0.0,0.0,0.0010064370170420644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8768484415676703,0.0038689707895965147,0.0031584016557150898,0.0027293693811772835,0.0021591286544372073,0.0016159423333166776,0.001692176747676133,0.0014992088049023318,0.0011130197382477195,0.0011400636695790179,0.0,0.0010966394815057436,0.0012317426738774864,0.0,0.00025143550768979726,0.0011180570865599894,0.0,0.001025324880542523,0.0010922956277708647,0.0013670832017325517,0.001048556076193471,0.0011539427609463895,0.0,0.0,0.0,0.001044306049253789,0.0010655981944003227,0.0,0.0010795238491124672,0.0011703682198262266,0.0,0.0010209225473035146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.87840681961308,0.004161554553058643,0.0034146569141057623,0.00290780887952784,0.0022404652192199383,0.0019326276791327471,0.0017727986341373727,0.0015890653373237145,0.0012129532813213602,0.0012099859280952055,0.0010335099668089516,0.0012201397143998712,0.0013097630013557701,0.0010387135409218368,0.0010972885179225055,0.0011825108415014938,0.0011405775355577245,0.0011210074704398633,0.0012459363268526034,0.0015485841003245304,0.0012724490368999867,0.0012762292388897873,0.0011425790038505832,0.0011455501436491776,5.02807988488511e-05,0.0011246085303586208,0.0011495758963718688,0.0,0.0011347197538320937,0.0015650376568992648,0.0010614035192542915,0.0011158425537999847,0.0,0.0,0.001028425360217236,0.0011532003752626578,0.0010241944949950874,0.0,0.0010470429592299504,0.0010110872395815533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.8786562054886449,0.004256315009196872,0.00344438632644737,0.002974579517693927,0.002269412753934745,0.002043790601037104,0.0018188595014584478,0.0016404332560697784,0.0012208196963813562,0.0012286145459357248,0.001093314108377944,0.0012490351455145391,0.0013274737927529902,0.001051881648326683,0.0011124780352000023,0.0012035475591347332,0.0011996825573518792,0.0011450005240008691,0.0012990670710379825,0.001601865977264762,0.0013432338974462778,0.0012918605493156046,0.0011827348659756705,0.0011983929288445934,0.0010145104272064546,0.0011705718683141298,0.00117275367856781,0.0010083792661692837,0.0011667252086324065,0.001635195788125524,0.0010691265147354777,0.001128584003728317,0.0,0.000531958680576433,0.0010616832451312464,0.0012820660173290344,0.0010670990935382936,0.0005372472487332487,0.0010746229696165005,0.001046159476824747,0.0,0.0,0.0,0.0,0.0,0.0005282930462914625,0.0,0.0,0.0
