,N.4,B.1.478,D.2,B.1.13,B.1.1.185,B.1.274,B.1.1.98,B.1.1.109,B.1.1.165,B.1.1.111,B.1.1.339,B.1.1.344,B.1.1.187,B.1.1.58,B.1.1.408,B.1.177.72,B.1.177.17,B.1.1.336,B.1.1.507,N.7,B.1.1.133,B.1.1.320,B.1.1.86,B.1.483,B.1.273,B.1.603,B.1.1.382,B.1.1.286,B.1.1.518,B.1.1.204,B.1.1.136,B.1.1.123,B.1.1.363,B.1.1.519,B.1.1.217,B.1.1.359,B.1.524
0.025,0.8626059059375226,0.011090119215845922,0.0,0.004939895118153557,0.001482880594960412,0.0011847011026732718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.8636694954751283,0.011187828575114278,0.0,0.005240775592723383,0.0016957056802715518,0.0012784886948687241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8678355158054176,0.011890327859433227,0.006774645621844883,0.00578464919069618,0.0019462627145254976,0.001489068448342024,0.0,0.0,0.0010359400578044574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.869770257799237,0.012580089505086139,0.009389694647312968,0.006159401106993819,0.002199162572795186,0.0016242389831301297,0.0,0.0,0.0012580378552284777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8715656239524734,0.013120359783595732,0.011147922238010246,0.006567136096670165,0.0023880137441406007,0.0017946703299694974,0.0010920256648955392,0.001010520307293249,0.0014618868691819902,0.0010207129621257664,0.0,0.0010817290404147816,0.0011068458107092096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.8759284501233743,0.013792926519366238,0.016565303828364214,0.006896312440539543,0.0027464843319291938,0.0020443417661306826,0.0012553732178250023,0.0012007880610764446,0.0019214436147345442,0.0012407446260504686,0.0010951938849149006,0.0013429355591046267,0.001318639315572288,5.1517520969520136e-05,0.0011323739422436662,0.0024141264390887727,0.00165519450833503,0.0,0.0,0.001011695345927887,0.0012022180016743158,0.0,0.0,0.0010794877513970451,0.001013487269825812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.8766994577617833,0.013869267565788324,0.01773330130389694,0.007309857199038435,0.0028062468534401286,0.00213018425306463,0.0013019450758433705,0.0012311944520641562,0.002074795501494432,0.001268595191469937,0.0011245131175498697,0.0013836410084341986,0.0013865060750043868,0.001097825260980792,0.0011586334012328333,0.0032927570440084634,0.001889442091480148,0.0,0.0,0.0010726725136647399,0.0012160429477104059,0.0005312771483119813,0.0010194311370392364,0.0011812134792699087,0.0010644152928852252,0.001020965190962202,0.0010250577538124142,0.0,0.0,0.0010494430454529302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
