,Lambda,A
0.025,0.9684187483045117,0.0
0.05,0.9685123819221896,0.0
0.25,0.9693180352700641,0.0
0.5,0.9698462280645422,0.0
0.75,0.9703536200241101,0.0
0.95,0.9712519480269115,0.0
0.975,0.9714632352832462,0.0
