,Omicron,Lambda,Other
0.025,0.9173973012947855,0.01408026171437226,0.0010580632736023141
0.05,0.918907709177123,0.014171380480827727,0.0012325516688926103
0.25,0.922962606356784,0.014731493193825594,0.0025729155905182995
0.5,0.9262214354647866,0.015158545834698809,0.003588960954039094
0.75,0.9298070017252641,0.0156404904423439,0.004793729060951751
0.95,0.9320517512105655,0.016115473094805783,0.005969775220243477
0.975,0.9326521352666367,0.016156046580622342,0.006936704884966491
