,N.4,B.1.177,B.1.177.17,B.1.177.72,B.1.187,B.1.177.75,W.2,B.1.1.408,B.1.177.32,B.1.177.77,B.1.97,B.1.1.109,B.1.579,AA.8,B.1.524,B.1.478,B.1.1.338,N.7,B.1.1.217,B.1.1.361,B.1.1.312,D.2,B.1.70,B.1.1.44,B.1.444,B.1.1.437,B.1.1.507,B.1.177.43,M.3,B.1.1.388,B.1.23,B.58,N.1,B.1.1.147,B.1.1.251,B.1.177.25,B.1.243.2,B.1.571,Z.1,AP.1,B.1.531,B.1.563,B.1.569,B.1.603,C.37,B.1.1.420,B.1.1.519,B.1.585,B.1.600,B.1.177.87,V.1,B.1.1.224,AY.3.3,B.1.106,B.1.421,B.1.177.33,B.1.127,A.3,AM.3,B.1.549,B.1.1.288,B.1.205,N.5,B.1.525,B.1.404,B.1.502,N.10,AH.1,B.1.203,B.1.423,B.1.93,B.1.400.1,B.1.1.198,B.1.393,B.1.550
0.025,0.7743382915560124,0.06971382425544906,0.0028535301689396188,0.002666567834855961,0.002035867698839378,0.0012397329421990168,0.0011501611005355539,0.0,0.0011503919466380752,0.0011157073175564487,0.0,0.0010433241464162224,0.0,0.001014942149131938,0.0,0.0,0.0,0.0010683847709660002,0.0,0.0,0.0,0.0,0.0,0.0,0.0010256122735227012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.7744497685814009,0.07023598053125954,0.002900942443404337,0.0027455668949097323,0.0020592454265171128,0.0012617696030944607,0.0012030319654742,0.0,0.0011717814854138031,0.001147279624922351,0.0,0.0010828001168792594,0.0,0.0010643041627921431,0.0,0.0,0.0,0.001103513007260835,0.0,0.0009545664391993727,0.0,0.0,0.0,0.0,0.0010632010035223137,0.0,0.0,0.0,0.0,0.0010144785336253276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.7770340188742333,0.07371843778163385,0.0031274911980358547,0.0030112875385576695,0.0021922549845998945,0.0013677632537741269,0.001411242981085663,0.001121295822550758,0.0012419640949634426,0.0012043855314142265,0.0010159280360365567,0.0011981498153313987,0.0010131414203019373,0.0013099498699732342,0.0010884723076086855,0.0010521885517752703,0.0010652604698029658,0.001173434359191689,0.001022999241018949,0.0011048427907169953,0.0,0.0,0.0011033546918840834,0.0,0.0011525809788555295,0.0010168877834390094,0.0,0.0,0.0,0.0011184481004813097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.7791344614485629,0.07547802743936666,0.003258434156733237,0.003149366123609723,0.0022663571163505135,0.001442503157924083,0.0015049093012310286,0.0011969235182762996,0.0013022440050214036,0.0012692944508507506,0.0012017822719485407,0.0012497905413654292,0.0011054205834634529,0.0014677744897024282,0.0011544106790837712,0.0011033241261095635,0.0011582851865431327,0.0012215695775958935,0.0011833783244111387,0.00115758020298323,0.0010107608603004254,0.0011079897407492863,0.0013127203524226857,0.0,0.0012151401104706107,0.0010676102848791538,0.0010091106059701921,0.0,0.0,0.0011815165214721078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.7810168459874993,0.07634655863363463,0.003399844836116257,0.0033357020463058626,0.0023501971613676745,0.0015093179229753464,0.0016125120640535793,0.00129735082872295,0.001362637474512136,0.001345887056384202,0.0013176764183224455,0.0013119194035011682,0.0011689472202377187,0.001573690032913502,0.0012342728073865931,0.0011512654865359266,0.0012379251073516289,0.0012725372909310239,0.0012937255487434122,0.0012284535989133972,0.0010723962524363897,0.0012387190212061407,0.0015480480148891548,0.0010047853835184182,0.001258331271911241,0.001131539889118109,0.0010741028840437923,0.0010171556864854755,0.0,0.0012210479395279635,0.0011000281839120241,0.0,0.0010258146096877876,0.0,0.0,0.0,0.0,0.0010092744486109673,0.0,0.0,0.0,0.0,0.0,0.0010302011599321985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.7840234884294087,0.07757959870716369,0.0036058774483944474,0.0036515769671458817,0.00246912563446766,0.0016083211121951156,0.0017222402980349718,0.0014084846964937468,0.0014279300705831589,0.0014266693250100575,0.0014619022447222086,0.0013959406984741995,0.0012469569234331349,0.0017313065918354803,0.0013401195642271401,0.0012423693471151013,0.0013574726371186532,0.0013399243673479296,0.0014026516897280893,0.0013078041052624464,0.0011440348424660704,0.001381098169771047,0.0018837419301841194,0.00113086640306283,0.0013194104412878667,0.001199017813467127,0.0011421004968597177,0.0013739885126766189,0.0011802680222248564,0.0012839908333595732,0.0012161073133163515,0.0,0.0011595285810561832,0.0010485918364944325,5.016029095306896e-05,0.0011053538546249577,0.0010014699769974272,0.0011243816965441666,0.0011193497597634257,0.0010257425296337826,0.0,0.0010097570729921458,0.0,0.0011536081717228833,0.0011109802382722508,0.0010935351523928384,0.0010753419067347212,0.0010754974662615,5.070854287013459e-05,0.0,0.0,5.0089215825758836e-05,0.0,0.0010326990278720885,0.0010096832669539851,5.2660500050123746e-05,0.0,0.001102121984583647,5.058206194105784e-05,0.0010211032861909355,0.0,5.190554910378912e-05,0.0,0.0,5.095423384210057e-05,0.0,5.08818905537914e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.975,0.7844921986490349,0.07766279535509438,0.00370895809423886,0.0036835747549736693,0.002507208446621275,0.001706195845737487,0.001749869573467407,0.0014325910272463805,0.0014631959916692992,0.001470255246262379,0.001572169002340484,0.001414890391103104,0.001283332037115228,0.001772418428482719,0.0013452085940261441,0.0012601684722463788,0.0014018233378131231,0.0013630252636968358,0.001466454039888185,0.0013322567069400362,0.0011753637323248965,0.0014181534029542176,0.0019933665072357216,0.0011496330347052057,0.0013299810138376778,0.0012049865484456514,0.0011595108605858848,0.0014793715925701485,0.001214656256657285,0.0013016817760313174,0.0012421107574977712,0.0,0.0011829833018639317,0.0010784854494750677,0.0010309277798660123,0.0011361220147942002,0.0010224698570959374,0.0011424297232305836,0.0012103831961839892,0.001040983247577505,0.0,0.0010155474265376072,0.0,0.0011914418814516763,0.0011639686285257835,0.0011247671291675456,0.0011268464042026455,0.0011131626056527873,0.001015780618017053,0.0005303514859961451,0.0,0.0010127118318548364,0.0,0.0010428200935745267,0.001062530718376609,0.0010682304276085765,0.0,0.001137006287337851,0.0010417834145550384,0.0010437587361924086,0.0010407659999625931,0.0010640660690923206,0.0010362653801259591,0.0,0.0010747000859940082,0.0,0.0010249630553363235,0.0,0.0005307507387173226,0.0,0.0,0.0,0.0,0.0,0.0
