,BA.2* [Omicron (BA.2.X)],Omicron,Other
0.025,0.9320691370378069,0.0011800349078016363,0.0
0.05,0.9327433668188595,0.0012482133311064005,0.0
0.25,0.934087339774978,0.0023128592009937264,0.0
0.5,0.9358735988399707,0.0032004390530478996,0.0010753682949067396
0.75,0.9371983968024606,0.0035963230595171553,0.001167931867329987
0.95,0.9392275950586032,0.0044661662362646005,0.001264076545762071
0.975,0.9394815145268958,0.004594566981495635,0.001277287262535772
