,Omicron,Gamma,Other,Theta
0.025,0.9518507964763528,0.0,0.0,0.0
0.05,0.9521133609315042,0.0,0.0,0.0
0.25,0.9534172297664437,0.0011396054775823664,0.0010262700393887923,0.0
0.5,0.954331124902191,0.0012579985893098307,0.001140914383468097,0.0
0.75,0.9553512042590727,0.0013599897651377583,0.0020945699206703573,0.0
0.95,0.9571113575629762,0.0015501080499082333,0.002376479574610867,0.0
0.975,0.9573492271845675,0.0015653888067645996,0.0031779210387092804,0.0
