,P.1.15,P.1.12,B.1.478,B.1.177.72,C.37,P.1.13,P.1.11,B.1.177.45,P.1.1,P.1.14,B.1.177.17,B.1.177.75,B.1.187,P.1.16,B.1.177.43,P.1.7.1,Z.1,B.1.128,B.1.483,P.1,D.2,B.58,B.1.274,B.1.177.25,B.1.177.33,B.1.1.217
0.025,0.867359491674055,0.01564325498862904,0.012860868249860657,0.004330386246617709,0.0031794634668767937,0.0016077847251560091,0.0,0.0005359963935870813,0.0,0.0,0.0011083667805285215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.869023548909937,0.01571931346195128,0.012991306593749852,0.004494472658509338,0.003217187807097787,0.0016411908842103604,0.0,0.0011545561959062382,0.0,0.0,0.001163342762327041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.8705841782863732,0.016530995774446146,0.01404882978121266,0.004804087058809274,0.0035127573998258504,0.002258087858564314,0.0,0.0016217852347402931,0.0,0.0010618591009497217,0.001432714774084348,0.0,0.001055155492431593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.8720012544087158,0.01709169196460257,0.014738983287411439,0.005041988809967203,0.003771682151830414,0.002610068043744574,0.0,0.001821780687124012,0.0011457733470045988,0.0011718290331663075,0.001650275548341885,0.0,0.0015719515227375458,0.0010547352136370295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.8735861887263973,0.017648521652190996,0.015166876479506586,0.005214959828751783,0.004004242449142923,0.003205344157564847,0.0010245256870890648,0.0020118822056589282,0.0012849617087386102,0.0012965109741837932,0.0018560417513778672,0.001073560170648186,0.002024180481216051,0.0011374986161286366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.8755823251611549,0.018166473158235014,0.015745957669594687,0.005536137347749768,0.004259239587052706,0.0037660450985477724,0.0014715032019429837,0.0022850181366082137,0.0013815320369416394,0.0014944597055315334,0.002098329090086987,0.0012452830888941273,0.002563919442875785,0.0012471478293235242,0.0011915347793340961,0.0011496867988233697,0.0,5.0915056786488675e-05,0.0,0.0014279211605084453,0.001083663421718198,0.0,0.0,0.0,0.0,0.0
0.975,0.875832331981175,0.018624047292234925,0.01580607538732344,0.005620799855143952,0.004374668154376917,0.003880006957544306,0.0015572297409754707,0.0023316634926670477,0.0014675202030611817,0.0015374138046760854,0.0021727298264544487,0.0012592931546093495,0.0027905646117387032,0.0012934617353074767,0.0012492921109299685,0.0011880764959453542,0.0,0.0010323201658719657,0.0,0.0020691712058848754,0.0011278399566024121,0.0,0.0013617724238578937,0.0,0.0,0.0
