,BA.4.1,BA.4.1.1,BA.4.1.3,BA.2.9.1,BA.4.1.5,BA.4.3,AP.1,BA.2.2.1,BA.4.1.2,XL,BA.4.1.6,XR,BG.1,BA.5.2.5,BA.2.60,BA.2.33
0.025,0.9468216462600678,0.0016330214119916154,0.0012427368322346331,0.0,0.0011497909739453236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.9471614541683836,0.0016616366948335637,0.0012886714489813605,0.0,0.001177666840155327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.9484359872300782,0.0017413997834451866,0.0014359484430139361,0.0010940379958759058,0.0012980558892647595,0.0010847570258570138,0.0,0.0010027873008296964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.9492682831526336,0.0018144024801950874,0.0015481091041042645,0.0016431672012389394,0.0013751001251141575,0.001222038061963978,0.0,0.0011317944857175404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.9499081802247629,0.0019056094177294298,0.0016837583920126446,0.0018959929956430467,0.0014504282212534783,0.0012921967135503787,0.0010095219393456316,0.0012330856981717314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.95,0.9504729929648054,0.001988137014576822,0.0018681382175177801,0.00208542783204141,0.001546809517810988,0.0014067607035475737,0.0010683125327081142,0.00133451664569056,0.0010160660417198578,0.001001804198842257,0.0,0.0,0.0,0.0,0.0010041482451853526,0.0
0.975,0.9506981483886079,0.0020155560412593518,0.0018970883005753564,0.0021302033205408207,0.0015554220406174082,0.0014223835634684591,0.0011127938972247222,0.0013944070413525452,0.0010793845584066708,0.001032812329962106,0.0005369626419476616,0.0,0.0010652769141474567,0.001014691197810953,0.0010412640211191373,0.0005368011841674433
