,BA.2* [Omicron (BA.2.X)],Other,Omicron
0.025,0.746216114854568,0.1834937903493023,0.00422208002144938
0.05,0.7465130309112111,0.184219169598023,0.0045568759528752814
0.25,0.7497450802018473,0.18601607970599132,0.005563314982964883
0.5,0.7514212673264966,0.18765257508713346,0.006009191248066271
0.75,0.7526465859079042,0.18895856879392786,0.006832819601019272
0.95,0.7559288258771719,0.19081270206973275,0.007647905279612387
0.975,0.757217955568936,0.19101057185453138,0.007741268303264328
